ID,en,en_meaning,de,de_meaning,type,lexical_category,
1,allergy,altered bodily reactivity (such as hypersensitivity) to an antigen in response to a first exposure,allergie,Pathological reaction of the organism to certain foreign substances (allergens); hypersensitivity,COGNATE,N,
2,alcohol,ethanol especially when considered as the intoxicating agent in fermented and distilled liquors,alkohol,Drink containing ethyl alcohol,COGNATE,N,
3,alphabet,a set of letters or other characters with which one or more languages are written especially if arranged in a customary order,alphabet,fixed sequence of the letters of a language,COGNATE,N,
4,apple,a fruit (such as a star apple) or other vegetative growth (such as an oak apple) suggestive of an apple,apfel,Fruit of the apple tree,COGNATE,N,
5,bakery,a place for baking or selling baked goods,bäckerei,"Business that produces and sells baked goods (especially bread, rolls, etc.); shop that mainly sells baked goods (especially bread, rolls, etc.)",COGNATE,N,
6,father,a man who has begotten a child; also : a male animal who has sired an offspring,vater,Man in relation to his child and especially in the child’s relationship to him,COGNATE,N,
7,nature,the external world in its entirety,natur,all things and phenomena existing outside and independently of consciousness that were not created by human activity,COGNATE,N,
8,paper,a felted sheet of usually vegetable fibers laid down on a fine screen from a water suspension,papier,"thin, flat material obtained especially by felting and gluing plant fibres, which is mainly used for writing, printing and packaging",COGNATE,N,
9,planet,any of the large bodies that revolve around the sun in the solar system,planet,"non-self-luminous large celestial body of the solar system that moves on an elliptical orbit around the sun, variable star",COGNATE,N,
10,picnic,an excursion or outing with food usually provided by members of the group and eaten in the open; also : the food provided for a picnic,picknick,Outdoor meal with food brought along,COGNATE,N,
11,fish,"any of numerous cold-blooded strictly aquatic craniate vertebrates that include the bony fishes and usually the cartilaginous and jawless fishes and that have typically an elongated somewhat spindle-shaped body terminating in a broad caudal fin, limbs in the form of fins when present at all, and a 2-chambered heart by which blood is sent through thoracic gills to be oxygenated",fisch,"scaly, cold-blooded vertebrate (with a laterally flattened body) that lives in water and is equipped with a swim bladder, gills and fins",COGNATE,N,
12,energy,the capacity of acting or being active,energie,the inherent ability of a body or system to do work,COGNATE,N,
13,emblem,an object or the figure of an object symbolizing and suggesting another object or an idea,emblem,symbol depicted in the picture,COGNATE,N,
14,music,"the science or art of ordering tones or sounds in succession, in combination, and in temporal relationships to produce a composition having unity and continuity",musik,"Art that arranges tones in such a way that melodies are produced in temporal succession, harmonies in simultaneous juxtaposition or superimposition, and through rhythmic structure works are created that express the human emotional life in a variety of ways, music",COGNATE,N,
15,museum,"an institution devoted to the procurement, care, study, and display of objects of lasting interest or value; also : a place where objects are exhibited",museum,public building for collections of art or science,COGNATE,N,
16,friend,one attached to another by affection or esteem,freund,"close (male) person with whom one shares certain inclinations, interests, etc. and with whom one has a trusting relationship (without living in a partnership with him or her)",COGNATE,N,
