ID,en,en_meaning,es,es_meaning,type,lexical_category
1,nature,the external world in its entirety,naturaleza,The set of everything that exists and that is determined and harmonized in its own laws.,COGNATE,N
2,culture,"the customary beliefs, social forms, and material traits of a racial, religious, or social group; also : the characteristic features of everyday existence (such as diversions or a way of life) shared by people in a place or time",cultura,"Set of ways of life and customs, knowledge and degree of artistic, scientific, industrial development, in a period, social group, etc.",COGNATE,N
3,restaurant,a business establishment where meals or refreshments may be purchased,restaurante,"Public establishment where food and drinks are served, for a fee, to be consumed on the premises.",COGNATE,N
4,traffic,"the vehicles, pedestrians, ships, or planes moving along a route",tráfico,"Movement or transit of people, goods, etc., by any means of transport.",COGNATE,N
5,tourist,one that makes a tour for pleasure or culture,turista,"To trade, to negotiate with money and goods.",COGNATE,N
6,salary,fixed compensation paid regularly for services,salario,Amount of money with which employees are paid.,COGNATE,N
7,soup,"a liquid food especially with a meat, fish, or vegetable stock as a base and often containing pieces of solid food",sopa,Dish consisting of a broth and one or more solid ingredients cooked in it.,COGNATE,N
8,artist,"a person who creates art (such as painting, sculpture, music, or writing) using conscious skill and creative imagination.",artista,Person who cultivates any of the fine arts.,COGNATE,N
9,vocabulary,a list or collection of words or of words and phrases usually alphabetically arranged and explained or defined.,vocabulario,Set of words in a language.,COGNATE,N
10,poet,one who writes poetry.,poeta,Person who composes poetic works.,COGNATE,N
11,secretary,one employed to handle correspondence and manage routine and detail work for a superior.,secretario,"Person in charge of the administrative tasks of an organization, institution or corporation and performs the functions of issuing minutes, attesting to agreements and safeguarding the documents of that entity.",COGNATE,N
12,action,a thing done.,acción,Exercise of the possibility of doing.,COGNATE,N
13,interpretation,the act or the result of interpreting : explanation.,interpretación,Action and effect of interpreting.,COGNATE,N
14,collection,"something collected; especially : an accumulation of objects gathered for study, comparison, or exhibition or as a hobby",collección,"Ordered set of things, usually of the same class and brought together by their special interest or value.",COGNATE,N
15,attention,the act or state of applying the mind to something,atención,Action of attending,COGNATE,N
16,blouse,"a long loose overgarment that resembles a shirt or smock and is worn especially by workmen, artists, and peasants.",blusa,"An open garment of fine cloth, similar to a shirt, worn by women and children, which covers the upper part of the body.",COGNATE,N
17,technology,the practical application of knowledge especially in a particular area.,tecnología,Set of theories and techniques that allow the practical use of scientific knowledge.,COGNATE,N
18,chemistry,"a science that deals with the composition, structure, and properties of substances and with the transformations that they undergo",química,"Science that studies the structure, properties and transformations of bodies based on their composition.",COGNATE,N
19,geography,"a science that deals with the description, distribution, and interaction of the diverse physical, biological, and cultural features of the earth's surface",geografía,Science that deals with the description of the Earth.,COGNATE,N
20,tragedy,a serious drama typically describing a conflict between the protagonist and a superior force (such as destiny) and having a sorrowful or disastrous conclusion that elicits pity or terror,tragedía,A sad and regrettable situation or event that affects people or human societies The flood was a great tragedy.,COGNATE,N
21,lottery,a drawing of lots in which prizes are distributed to the winners among persons buying a chance,loteria,"State game of chance in which one participates by purchasing tickets that will be awarded when their numbers match, completely or in the established ways, with those drawn in a lottery.",COGNATE,N
22,yogurt,a fermented slightly acid often flavored semisolid food made of milk and milk solids to which cultures of two bacteria (Lactobacillus bulgaricus and Streptococcus thermophilus) have been added,yogur,Dairy product obtained by evaporation reduction and bacterial fermentation of milk.,COGNATE,N
23,baby,an extremely young child; especially : infant —sometimes used of an adult daughter or son to express parental nostalgia or affection.,bebé,Newborn or very young child. ,COGNATE,N
24,class,a body of students meeting regularly to study the same subject.,clase,Set of elements with common characteristics.,COGNATE,N
25,gender,"Group to which human beings of each sex belong, understood from a sociocultural point of view rather than an exclusively biological one",género,"Group to which human beings of each sex belong, understood from a sociocultural point of view rather than an exclusively biological one.",COGNATE,N
26,mountain,a landmass that projects conspicuously above its surroundings and is higher than a hill.,montaña,Great natural elevation of the land.,COGNATE,N
27,volcano,a vent in the crust of the earth or another planet or a moon from which usually molten or hot rock and steam issue; also : a hill or mountain composed wholly or in part of the ejected material.,volcán,"Opening in the earth, and more commonly in a mountain, through which smoke, flames and burning or molten materials emerge from time to time",COGNATE,N
28,ocean,the whole body of salt water that covers nearly three fourths of the surface of the earth.,océano,Large and extensive sea that covers most of the Earth 's surface,COGNATE,N
29,capacity,"an individual's mental or physical ability, aptitude, or skill.",capacidad,Quality of being capable.,COGNATE,N
30,article,a distinct often numbered section of a writing.,artículo,One of the parts into which writings are usually divided,COGNATE,N
31,cause,a reason for an action or condition.,causa,Motive or reason to act.,COGNATE,N
32,flower,"the specialized part of an angiospermous plant that occurs singly or in clusters, possesses whorls of often colorful petals or sepals, and bears the reproductive structures (such as stamens or pistils) involved in the development of seeds and fruit.",flor,"A sprout of many plants, formed by colored leaves, from which the fruit will form",COGNATE,N
33,lemonade,a beverage of sweetened lemon juice mixed with water.,limonada,"Drink composed of water, sugar and lemon juice.",COGNATE,N
34,computer,"one that computes; specifically : a programmable usually electronic device that can store, retrieve, and process data",computadora,"Electronic machine that, through certain programs, allows information to be stored and processed, and problems of various kinds to be solved.",COGNATE,N
35,pear,"a pome fruit of a tree (genus Pyrus, especially P. communis) of the rose family that typically has a pale green or brownish skin, a firm juicy flesh, and an oblong shape in which a broad base end tapers upward to a narrow stem end.",pera,Fruit of the pear tree.,COGNATE,N
36,fruit,a product of plant growth.,fruta,"Edible fruit of certain cultivated plants ; e.g., pear, cherry, strawberry, etc.",COGNATE,N
37,vegetable,"a usually herbaceous plant (such as the cabbage, bean, or potato) grown for an edible part that is usually eaten as part of a meal; also : such an edible part.",vegetal,Of or relating to plants.,COGNATE,N
38,paradise,eden,paraíso,"In the Old Testament, the garden of delights where God placed Adam and Eve",COGNATE,N
39,problem,"a question raised for inquiry, consideration, or solution.",problema,Question to be clarified.,COGNATE,N
40,bicycle,"a vehicle with two wheels tandem, handlebars for steering, a saddle seat, and pedals by which it is propelled; also : a stationary exercise.",bicicleta,"Two - wheeled vehicle, normally of equal size, whose pedals transmit movement to the rear wheel by means of a plate, a sprocket and a chain.",COGNATE,N
41,album,"a book for holding a collection of items (such as photographs, stamps, or coins) on pages that are initially blank.",álbum,"Blank book with double pages, with one or more regularly shaped openings, like frames, to place photographs, watercolors, engravings, etc.",COGNATE,N
42,apartment,a room or set of rooms fitted especially with housekeeping facilities and usually leased as a dwelling.,apartamento,Small apartment to live in.,COGNATE,N
43,appetite,any of the instinctive desires necessary to keep up organic life; especially : the desire to eat.,apetito,Instinctive impulse that leads to satisfying desires or needs.,COGNATE,N
44,bar,a room or establishment where alcoholic drinks and sometimes food are served,bar,"A place where drinks are served, which are usually drunk standing up, at the counter.",COGNATE,N
45,bulletin,"a brief public notice issuing usually from an authoritative source; specifically : a brief news item intended for immediate publication or broadcast
periodical; especially : the organ of an institution or association",boletín,"Publication intended to deal with scientific, artistic, historical or literary matters, generally edited by a corporation.",COGNATE,N
46,button,a small knob or disk secured to an article (as of clothing) and used as a fastener by passing it through a buttonhole or loop.,botón,"In a garment, a piece, generally round and flat, that is inserted into a buttonhole to fasten",COGNATE,N
47,bracelet,an ornamental band or chain worn around the wrist.,brazalete,A ring made of metal or other material that surrounds the arm above the wrist and is used as an ornament.,COGNATE,N
48,career,a profession for which one trains and which is undertaken as a permanent calling.,carrera,Action of running people or animals.,COGNATE,N
49,cement,"a powder of alumina, silica, lime, iron oxide, and magnesium oxide burned together in a kiln and finely pulverized and used as an ingredient of mortar and concrete; also : any mixture used for a similar purpose.",cemento,"Mixture formed by clay and calcareous materials, subjected to cooking and very finely ground, which mixed with water solidifies and hardens.",COGNATE,N
50,disaster,"a sudden calamitous event bringing great damage, loss, or destruction.",desastre,"Great misfortune, unfortunate and regrettable event. ",COGNATE,N
51,banana,an elongated usually tapering tropical fruit with soft pulpy flesh enclosed in a soft usually yellow rind.,banana,A type of a tropical fruit.,COGNATE,N
52,explosion,the act or an instance of exploding.,explosión,"Sudden release of energy that produces a rapid increase in pressure, with release of heat, light and gases, and is accompanied by a noise and violent rupture of the body that contains it.",COGNATE,N
