ID,en,en_meaning,fr,fr_meaning,type,lexical_category
1,fruit,the usually edible reproductive body of a seed plant; especially : one having a sweet pulp associated with the seed,fruit,set of organs of a plant containing the seed,COGNATE,N
2,ocean,the whole body of salt water that covers nearly three fourths of the surface of the earth,océan,large expanse of salt water that covers a large area of ​​the Earth's surface,COGNATE,N
3,telephone,a device by which sound (such as speech) is converted into electrical impulses and transmitted (as by wire or radio waves) to one or more,téléphone,device that allows speech to be transmitted over long distances,COGNATE,N
4,machine,"a mechanically, electrically, or electronically operated device for performing a task",machine,man-made device that can perform a specific task much faster and more efficiently than humans.,COGNATE,N
5,intelligence,the ability to learn or understand or to deal with new or trying situations : reason; also : the skilled use of reason,intelligence,"set of faculties of conception, understanding, adaptation",COGNATE,N
6,adventure,an undertaking usually involving danger and unknown risks,aventure,"action whose outcome is uncertain, risky",COGNATE,N
7,appetite,any of the instinctive desires necessary to keep up organic life; especially : the desire to eat,appétit,desire to eat,COGNATE,N
8,banana,an elongated usually tapering tropical fruit with soft pulpy flesh enclosed in a soft usually yellow rind,banane,banana fruit,COGNATE,N
9,camera,a device that consists of a lightproof chamber with an aperture fitted with a lens and a shutter through which the image of an object is projected onto a surface for recording (as on a photosensitive film or an electronic sensor) or for translation into electrical impulses (as for television broadcast),caméra,"device for filming, taking pictures",COGNATE,N
10,electricity,a fundamental form of energy observable in positive and negative forms that occurs naturally (as in lightning) or is produced (as in a generator) and that is expressed in terms of the movement and interaction of electrons,électricité,"form of energy, force field linked to negative or positive electric charges",COGNATE,N
11,elephant,"a thickset, usually extremely large, nearly hairless, herbivorous mammal (family Elephantidae, the elephant family) that has a snout elongated into a muscular trunk and two incisors in the upper jaw developed especially in the male into long ivory tusks.",éléphant,"ungulate mammal of the proboscidean family living in Asia and Africa; herbivorous, it is characterized by very thick skin, large ears, a proboscis nose and a pair of tusks from which ivory is obtained; it is the largest land animal, its weight being able to reach 6 tons; the cry of the elephant is the trumpeting or barrit",COGNATE,N
12,energy,the capacity of acting or being active,énergie,"vitality, physical strength (feeling full of energy, washing and scrubbing with energy)",COGNATE,N
13,garden,"a plot of ground where herbs, fruits, flowers, or vegetables are cultivated",jardin,area where edible or ornamental plants are planted,COGNATE,N
14,hospital,an institution where the sick or injured are given medical or surgical care.,hôpital,"public healthcare establishment, designed to accommodate and treat patients for a limited period",COGNATE,N
15,hotel,"an establishment that provides lodging and usually meals, entertainment, and various personal services for the public : inn",hôtel,"establishment where travelers are received, where rooms are rented at a daily price",COGNATE,N
16,helicopter,an aircraft whose lift is derived from the aerodynamic forces acting on one or more powered rotors turning about substantially vertical axes,hélicoptère,aircraft which rises and moves thanks to its large propellers,COGNATE,N
17,idea,a formulated thought or opinion,idée,"abstract representation of a thing, a being, of relations between things, beings, or concept",COGNATE,N
18,independence,the quality or state of being independent,indépendance,"quality of an independent, autonomous person",COGNATE,N
19,lesson,something learned by study or experience,leçon,teaching session,COGNATE,N
20,lemon,an acid fruit that is botanically a many-seeded pale yellow oblong berry produced by a small thorny citrus tree (Citrus limon) and that has a rind from which an aromatic oil is extracted,limon,"lemon fruit, very acidic lemon",COGNATE,N
21,palace,a large stately house,palais,large and sumptuous dwelling,COGNATE,N
22,paper,a felted sheet of usually vegetable fibers laid down on a fine screen from a water suspension,papier,material made from a paste of plant fibers spread and dried in a thin layer to form a sheet ,COGNATE,N
23,remedy,"a medicine, application, or treatment that relieves or cures a disease",remède,any substance that can be used to combat a disease,COGNATE,N
24,stomach,"a saclike expansion of the digestive tract of a vertebrate that is located between the esophagus and duodenum and typically consists of a simple often curved sac with an outer serous covering, a strong muscular wall that contracts rhythmically, and an inner mucous membrane lining that contains gastric glands",estomac,"viscus, part of the digestive tract which forms a pocket used for the digestion of food by impregnation of digestive juices in humans and in certain animals",COGNATE,N
25,salary,fixed compensation paid regularly for services,salaire,remuneration of a job,COGNATE,N
26,trumpet,"a wind instrument consisting of a conical or cylindrical usually metal tube, a cup-shaped mouthpiece, and a flared bell; specifically : a valved brass instrument having a cylindrical tube with two turns and a usual range from F sharp below middle C upward for 21/2 octaves",trompette,wind instrument that produces a bright sound,COGNATE,N
27,television,an electronic system of transmitting transient images of fixed or moving objects together with sound over a wire or through space by apparatus that converts light and sound into electrical waves and reconverts them into visible light rays and audible sound,télévision,remote transmission of images by radio waves or cable,COGNATE,N
28,tomato,"the usually large, rounded, edible, pulpy berry of an herb (genus Solanum) of the nightshade family native to South America that is typically red but may be yellow, orange, green, or purplish in color and is eaten raw or cooked as a vegetable",tomate,garden plant of the Solanaceae family,COGNATE,N
29,accident,an unforeseen and unplanned event or circumstance,accident,damaging event during transport,COGNATE,N
30,activity,the quality or state of being active : behavior or actions of a particular kind,activité,"manifestations of life, set of acts, dynamism",COGNATE,N
31,lamp,any of various devices for producing light or sometimes heat,lampe,device which is intended to illuminate ,COGNATE,N
32,biography,a usually written history of a person's life,biographie,text describing a person's life,COGNATE,N
33,history,a chronological record of significant events (such as those affecting a nation or institution) often including an explanation of their causes,histoire,relation of past events,COGNATE,N
34,cafeteria,a restaurant in which the customers serve themselves or are served at a counter and take the food to tables to eat,cafétéria,"place of consumption of drinks, generally non-alcoholic, and simplified catering",COGNATE,N
35,cement,"a powder of alumina, silica, lime, iron oxide, and magnesium oxide burned together in a kiln and finely pulverized and used as an ingredient of mortar and concrete; also : any mixture used for a similar purpose",ciment,"powdery material that mixes with water to form a binder that agglomerates, by hardening, various substances or materials",COGNATE,N
36,colour,the property possessed by an object of producing different sensations on the eye as a result of the way it reflects or emits light.,couleur,"effect of light radiation on the eyeball, taking into account the differences in absorption and reflection of this light",COGNATE,N
37,company,association with another : fellowship,compagnie,stay with a person (“keeping company”),COGNATE,N
38,committee,a self-constituted organization for the promotion of a common objective,comité,gathering of delegates working on the same subject,COGNATE,N
39,diamond,"native crystalline carbon that is the hardest known mineral, that is usually nearly colorless, that when transparent and free from flaws is highly valued as a precious stone, and that is used industrially especially as an abrasive; also : a piece of this substance",diamant,"pure crystallized carbon, colorless, transparent and very hard",COGNATE,N
40,dictionary,"a reference source in print or electronic form containing words usually alphabetically arranged along with information about their forms, pronunciations, functions, etymologies, meanings, and syntactic and idiomatic uses",dictionnaire,collection of words classified in alphabetical order and accompanied by a translation or a definition,COGNATE,N
41,family,the basic unit in society traditionally consisting of two parents rearing their children; also : any of various social units differing from but regarded as equivalent to the traditional family,famille,set of related persons,COGNATE,N
42,flower,"the specialized part of an angiospermous plant that occurs singly or in clusters, possesses whorls of often colorful petals or sepals, and bears the reproductive structures (such as stamens or pistils) involved in the development of seeds and fruit : blossom",fleur,colored and generally fragrant corolla of higher plants,COGNATE,N
43,forest,a dense growth of trees and underbrush covering a large tract,forêt,"large area planted with trees, set of these trees",COGNATE,N
44,music,"vocal, instrumental, or mechanical sounds having rhythm, melody, or harmony",musique,technique and art of combining sounds,COGNATE,N
45,manner,a characteristic or customary mode of acting : custom,manière,"way of being, of acting",COGNATE,N
46,magic,the use of means (such as charms or spells) believed to have supernatural power over natural forces,magique,"relating to magic, the art of producing inexplicable effects by occult means",COGNATE,N
47,necessity,the quality or state of being necessary,nécessité,"character of what is necessary, indispensable",COGNATE,N
48,optimism,a doctrine that this world is the best possible world,optimisme,theory that claims that all is for the best in the world and that good prevails over evil,COGNATE,N
49,combination,"a result or product of combining; especially : an alliance of individuals, corporations, or states united to achieve a social, political, or economic end",combinaison,arrangement according to a specific layout,COGNATE,N
50,accident,an unforeseen and unplanned event or circumstance,accident,"mishap, unexpected fact",COGNATE,N
51,object,something material that may be perceived by the senses,objet,"concrete thing, that we can see or touch ",COGNATE,N
52,enemy,one that is antagonistic to another,ennemi,"person who hates someone, who seeks to harm them",COGNATE,N
53,image,a visual representation of something,image,"representation of a person or thing through graphic or plastic arts, photography, film",COGNATE,N
