ID,en,de,type,lexical_category,low_en,high_en,low_de,high_de
1,allergy,allergie,COGNATE,N,His <MASK> symptoms flare up in the spring.,"The doctor prescribed medicine to help manage her <MASK> to pollen, which was causing severe inflammation around the eyes.",Seine <MASK>-Symptome treten im Frühjahr wieder auf.,"Der Arzt verschrieb ihr Medikamente, um ihre <MASK> gegen Pollen in den Griff zu bekommen, die schwere Entzündungen um die Augen herum verursachten."
2,alcohol,alkohol,COGNATE,N,He doesn't drink <MASK>.,Excessive consumption of <MASK> has been linked to liver disease and other long-term health problems.,Er trinkt <MASK> nicht.,Übermäßiger Konsum von <MASK> wird mit Lebererkrankungen und anderen langfristigen Gesundheitsproblemen in Verbindung gebracht.
3,alphabet,alphabet,COGNATE,N,The child learned the <MASK>.,The <MASK> of ancient Greek was a foundation for many modern languages.,Das Kind hat die <MASK> gelernt.,Die <MASK> des Altgriechischen war eine Grundlage für viele moderne Sprachen.
4,apple,apfel,COGNATE,N,She ate an <MASK> for lunch.,"The fresh <MASK> from the local farm had a crisp texture and sweet taste, reminding her of autumn harvests.",Sie aß eine <MASK> zum Mittagessen.,"Die frische <MASK> vom örtlichen Bauernhof hatte eine knackige Konsistenz und einen süßen Geschmack, der sie an Herbsternten erinnerte."
5,bakery,bäckerei,COGNATE,N,There's a <MASK> on the corner.,"The <MASK> was famous for its artisanal bread, made fresh daily with organic, locally sourced ingredients.",An der Ecke ist eine <MASK>.,"Das <MASK> war berühmt für sein handwerklich hergestelltes Brot, das täglich frisch aus biologischen Zutaten aus der Region zubereitet wird."
6,father,vater,COGNATE,N,His <MASK> is an engineer.,The son was inspired by the dedication shown by his <MASK> towards his work as a firefighter. ,Seine <MASK> ist ein Ingenieur.,Der Sohn war von der Hingabe seiner <MASK> für seine Arbeit als Feuerwehrmann inspiriert.
7,nature,natur,COGNATE,N,She loves being in <MASK>.,"The vivid tapestry of <MASK>, from towering redwoods to delicate alpine flowers, weaves a world of intricate ecosystems.","Sie liebt es, in <MASK> zu sein.","Der lebendige Wandteppich von <MASK>, von hoch aufragenden Mammutbäumen bis hin zu zarten Alpenblumen, webt eine Welt komplexer Ökosysteme."
8,paper,papier,COGNATE,N,He wrote the <MASK> last night.,Her groundbreaking <MASK> on quantum computing was published in a prestigious scientific journal and sparked widespread debate.,Er hat die <MASK> letzte Nacht geschrieben.,Ihre bahnbrechende <MASK> zum Thema Quantencomputing wurde in einer renommierten wissenschaftlichen Zeitschrift veröffentlicht und löste eine breite Debatte aus.
9,planet,planet,COGNATE,N,We must take care of our beautiful <MASK>.,"As the only habitable <MASK>, Earth offers a rare balance of resources, atmosphere, and water to sustain life.",Wir müssen uns um unsere schöne <MASK> kümmern.,"Als einzige bewohnbare <MASK> bietet die Erde ein seltenes Gleichgewicht an Ressourcen, Atmosphäre und Wasser, um Leben zu erhalten."
10,picnic,picknick,COGNATE,N,We had a <MASK> in the park.,"The family reunion was celebrated with a <MASK> by the lake, where they enjoyed homemade food and shared childhood memories.",Wir hatten eine <MASK> im Park.,"Das Familientreffen wurde mit einer <MASK> am See gefeiert, wo sie hausgemachtes Essen genossen und Kindheitserinnerungen austauschten."
11,fish,fisch,COGNATE,N,They caught a <MASK> in the lake.,"The vibrant coral reefs are home to thousands of <MASK> species, many of which are threatened by climate change and pollution.",Sie haben eine <MASK> im See gefangen.,"Die lebhaften Korallenriffe beherbergen Tausende von <MASK>-Arten, von denen viele durch Klimawandel und Umweltverschmutzung bedroht sind."
12,energy,energie,COGNATE,N,She didn't have much <MASK> today.,"The solar panels provided enough <MASK> to power the entire building, significantly reducing the company’s carbon footprint.",Sie hatte heute nicht viel <MASK>.,"Die Solarpaneele lieferten genug <MASK>, um das gesamte Gebäude mit Strom zu versorgen, wodurch der CO2-Fußabdruck des Unternehmens erheblich reduziert wurde."
13,emblem,emblem,COGNATE,N,The school’s <MASK> is a lion.,"The national <MASK> was proudly displayed on the flag during the Olympic ceremony, symbolizing unity and strength.",Die <MASK> der Schule ist ein Löwe.,Die nationale <MASK> wurde während der Olympischen Zeremonie stolz auf der Flagge gezeigt und symbolisierte Einheit und Stärke.
14,music,musik,COGNATE,N,She enjoys listening to <MASK>.,"The <MASK> at the concert was a fusion of classical and modern styles, captivating the audience with its intricate harmonies.",Sie hört gerne <MASK>.,Die <MASK> des Konzerts war eine Verschmelzung klassischer und moderner Stile und fesselte das Publikum mit ihren komplexen Harmonien.
15,museum,museum,COGNATE,N,The <MASK> is closed on Mondays.,"The <MASK> houses a rare collection of ancient Egyptian artifacts, offering visitors a glimpse into a long-lost civilization.",Das <MASK> ist montags geschlossen.,Die <MASK> beherbergt eine seltene Sammlung antiker ägyptischer Artefakte und bietet Besuchern einen Einblick in eine längst verlorene Zivilisation.
16,friend,freund,COGNATE,N,He met his <MASK> at the café.,"His childhood <MASK> stood by his side through thick and thin, providing support during the most difficult times of his life.",Er traf seine <MASK> im Café.,Seine Kindheit <MASK> stand ihm durch dick und dünn zur Seite und unterstützte ihn in den schwierigsten Zeiten seines Lebens.
17,statue,statue,COGNATE,N,They admired the <MASK> in the park.,"The <MASK> of the historical figure stood tall in the city center, commemorating his contributions to the nation’s independence.",Sie bewunderten die <MASK> im Park.,Die <MASK> der historischen Persönlichkeit stand hoch im Stadtzentrum und erinnerte an seinen Beitrag zur Unabhängigkeit der Nation.
18,fable,fabel,COGNATE,N,He told a <MASK> to the children.,The <MASK> of the tortoise and the hare teaches a valuable lesson about perseverance and the dangers of overconfidence.,Er sagte den Kindern eine <MASK>.,Die <MASK> der Schildkröte und des Hasen vermittelt eine wertvolle Lektion über Beharrlichkeit und die Gefahren von Selbstüberschätzung.
19,orchestra,orchester,COGNATE,N,She plays in an <MASK>.,"The symphony <MASK> performed Beethoven’s Ninth Symphony, leaving the audience in awe of their flawless execution.",Sie spielt in einer <MASK>.,Die Symphonie <MASK> spielte Beethovens Neunte Symphonie und versetzte das Publikum in Ehrfurcht vor ihrer makellosen Ausführung.
20,banana,banane,COGNATE,N,He had a <MASK> for breakfast.,"With its vibrant yellow peel, the <MASK> brings a touch of tropical flavor to breakfast tables.",Er hatte eine <MASK> zum Frühstück.,Mit seiner leuchtend gelben Schale bringt die <MASK> einen Hauch tropischen Geschmacks auf den Frühstückstisch.
21,book,buch,COGNATE,N,She is reading a <MASK> about history.,The <MASK> on artificial intelligence offers deep insights into the ethical dilemmas posed by rapidly advancing technology.,Sie liest eine <MASK> über Geschichte.,"Die <MASK> zur künstlichen Intelligenz bietet tiefe Einblicke in die ethischen Dilemmata, die sich aus der rasant fortschreitenden Technologie ergeben."
22,garden,garten,COGNATE,N,The <MASK> is full of flowers.,"The royal <MASK> was meticulously designed with rare plants from around the world, reflecting centuries of horticultural tradition.",Die <MASK> ist voller Blumen.,Die königliche <MASK> wurde sorgfältig mit seltenen Pflanzen aus aller Welt gestaltet und spiegelt jahrhundertealte Gartenbautradition wider.
23,calendar,kalender,COGNATE,N,I wrote our plans on the <MASK>.,"The <MASK> for the upcoming festival season is packed with events, ranging from concerts to cultural exhibits.",Ich habe unsere Pläne auf die <MASK> geschrieben.,"Die <MASK> für die kommende Festivalsaison ist vollgepackt mit Veranstaltungen, die von Konzerten bis hin zu kulturellen Ausstellungen reichen."
24,cat,katze,COGNATE,N,The <MASK> slept on the couch.,"The <MASK> breed known as the Maine Coon is renowned for its large size and friendly, dog-like behavior.",Die <MASK> schlief auf der Couch.,"Die <MASK>-Rasse, bekannt als Maine Coon, ist für ihre Größe und ihr freundliches, hundeähnliches Verhalten bekannt."
25,university,universität,COGNATE,N,She applied to the <MASK>.,"The <MASK> boasts a world-class faculty, cutting-edge research facilities, and a diverse student body from over 100 countries.",Sie bewarb sich bei der <MASK>.,"Das <MASK> verfügt über eine erstklassige Fakultät, hochmoderne Forschungseinrichtungen und eine vielfältige Studentenschaft aus über 100 Ländern."
26,elegance,eleganz,COGNATE,N,Her dress had <MASK>.,"The <MASK> of the ballet performance left the audience spellbound, as every movement was executed with grace and precision.",Ihr Kleid hatte <MASK>.,"Die <MASK> der Ballettaufführung faszinierte das Publikum, da jede Bewegung mit Anmut und Präzision ausgeführt wurde."
27,mother,mutter,COGNATE,N,His <MASK> made dinner.,"A <MASK> is the invisible thread binding generations, her influence lingering in every choice, every strength her children carry forward.",Seine <MASK> machte das Abendessen.,"Eine <MASK> ist der unsichtbare Faden, der Generationen verbindet, ihr Einfluss bleibt in jeder Wahl, jeder Kraft, die ihre Kinder weitertragen."
28,market,markt,COGNATE,N,The <MASK> was crowded today.,"The stock <MASK> reacted swiftly to the economic downturn, with major indices plummeting in response to investor fears.",Die <MASK> war heute überfüllt.,Die Aktie <MASK> reagierte schnell auf den wirtschaftlichen Abschwung und als Reaktion auf die Ängste der Anleger stürzten wichtige Indizes ab.
29,microscope,mikroskop,COGNATE,N,The lab manager informed the students that the <MASK> was broken.,"The advanced <MASK> allowed scientists to observe nanoscale structures, revolutionizing the field of molecular biology.","Der Laborleiter teilte den Studenten mit, dass die <MASK> kaputt sei.",Die fortschrittliche <MASK> ermöglichte Wissenschaftlern die Beobachtung nanoskaliger Strukturen und revolutionierte damit das Gebiet der Molekularbiologie.
30,vision,vision,COGNATE,N,His <MASK> was damaged due to the accident.,The company’s <MASK> for the future includes a sustainable business model focused on renewable energy and social responsibility.,Seine <MASK> wurde durch den Unfall beschädigt.,"Die <MASK> des Unternehmens für die Zukunft umfasst ein nachhaltiges Geschäftsmodell, das auf erneuerbare Energien und soziale Verantwortung ausgerichtet ist."
31,tea,tee,COGNATE,N,She drank a cup of <MASK>.,"The traditional <MASK> ceremony in Japan reflects centuries of cultural significance, symbolizing harmony and mindfulness.",Sie trank eine Tasse <MASK>.,Die traditionelle <MASK>-Zeremonie in Japan spiegelt jahrhundertealte kulturelle Bedeutung wider und symbolisiert Harmonie und Achtsamkeit.
32,theory,theorie,COGNATE,N,They discussed the <MASK> in class.,"Einstein’s <MASK> of relativity revolutionized our understanding of space, time, and the fundamental laws of physics.",Sie diskutierten die <MASK> im Unterricht.,"Einsteins <MASK> der Relativitätstheorie revolutionierte unser Verständnis von Raum, Zeit und den Grundgesetzen der Physik."
33,medicine,medizin,COGNATE,N,She took her <MASK> twice a day.,"The field of personalized <MASK> is advancing rapidly, offering treatments tailored to the genetic profiles of individual patients.",Sie nahm ihre <MASK> zweimal täglich ein.,"Der Bereich der personalisierten <MASK> schreitet rasant voran und bietet Behandlungen an, die auf die genetischen Profile einzelner Patienten zugeschnitten sind."
34,sofa,sofa,COGNATE,N,The <MASK> was comfortable to sit on.,"The antique velvet <MASK>, carefully restored over months, became the centerpiece of the living room, adding an air of elegance.",Auf der <MASK> konnte man bequem sitzen.,"Der antike Samt <MASK>, der über Monate hinweg sorgfältig restauriert wurde, wurde zum Herzstück des Wohnzimmers und verleiht ihm einen Hauch von Eleganz."
35,sock,socke,COGNATE,N,He lost one <MASK> in the laundry.,"His <MASK>, with a hole near the toe, betrayed years of wear despite its vibrant color and intricate pattern.",Er hat eine <MASK> in der Wäsche verloren.,"Seine <MASK>, mit einem Loch in der Nähe der Spitze, verriet trotz ihrer leuchtenden Farbe und dem komplizierten Muster, dass sie jahrelang getragen wurde."
36,glass,glas,COGNATE,N,The <MASK> shattered when it hit the floor.,"The stained <MASK> windows in the cathedral depict biblical scenes, casting colorful light across the pews as the sun shines through.","Die <MASK> zerbrach, als sie auf dem Boden aufschlug.","Die gefärbten <MASK>-Fenster in der Kathedrale stellen biblische Szenen dar und werfen buntes Licht auf die Kirchenbänke, während die Sonne durchscheint."
37,bus,bus,COGNATE,N,She took the <MASK> to work.,The city’s new electric <MASK> fleet is part of a larger initiative to reduce carbon emissions and promote sustainable public transport.,Sie nahm die <MASK> mit zur Arbeit.,Die neue elektrische <MASK>-Flotte der Stadt ist Teil einer größeren Initiative zur Reduzierung der CO2-Emissionen und zur Förderung eines nachhaltigen öffentlichen Verkehrs.
38,justice,justiz,COGNATE,N,He believes in <MASK>.,The court's decision to uphold <MASK> in the landmark civil rights case set a precedent for future legal protections against discrimination.,Er glaubt an <MASK>.,"Die Entscheidung des Gerichts, <MASK> im bahnbrechenden Bürgerrechtsfall aufrechtzuerhalten, stellte einen Präzedenzfall für künftige rechtliche Schutzmaßnahmen gegen Diskriminierung dar."
39,license,lizenz,COGNATE,N,He renewed his <MASK> before its expiry date.,"The company was granted an exclusive <MASK> to distribute the new software, giving it a competitive edge in the tech market.",Er hat seine <MASK> vor dem Ablaufdatum erneuert.,"Dem Unternehmen wurde eine exklusive <MASK> für den Vertrieb der neuen Software gewährt, was ihm einen Wettbewerbsvorteil auf dem Technologiemarkt verschaffte."
40,respect,respekt,COGNATE,N,He has a lot of <MASK> for her.,The deep <MASK> shown by the community for the local elder reflects their recognition of her wisdom and leadership over the years.,Er hat eine Menge <MASK> für sie.,"Die tiefe <MASK>, die die Gemeinschaft der Ältesten vor Ort entgegenbringt, spiegelt ihre Anerkennung ihrer Weisheit und Führung im Laufe der Jahre wider."
41,result,resultat,COGNATE,N,She waited for the <MASK> to appear on the screen.,"The final <MASK> of the election was a close victory for the incumbent, signaling a shift in public sentiment.","Sie wartete darauf, dass die <MASK> auf dem Bildschirm erschien.","Die letzte <MASK>-Wahl war ein knapper Sieg des Amtsinhabers, was einen Stimmungswandel in der Öffentlichkeit signalisierte."
42,balloon,ballon,COGNATE,N,He gave me a <MASK> at the party.,"The helium-filled <MASK> hovered above the party, reflecting the warm glow of the evening lights.",Er gab mir auf der Party eine <MASK>.,Die mit Helium gefüllte <MASK> schwebte über der Party und reflektierte den warmen Schein der Abendlichter.
43,beer,bier,COGNATE,N,He ordered a <MASK> at the bar.,"The craft <MASK> industry has exploded in recent years, with small breweries offering unique flavors and styles that appeal to niche markets.",Er bestellte eine <MASK> an der Bar.,"Die handwerkliche <MASK>-Branche ist in den letzten Jahren explodiert, und kleine Brauereien bieten einzigartige Geschmacksrichtungen und Stile an, die Nischenmärkte ansprechen."
44,canal,kanal,COGNATE,N,The <MASK> was dug for irrigation.,"The Panama <MASK> is one of the most important shipping routes in the world, connecting the Atlantic and Pacific Oceans.",Die <MASK> wurde zur Bewässerung gegraben.,Die Panama <MASK> ist eine der wichtigsten Schifffahrtsrouten der Welt und verbindet den Atlantik mit dem Pazifischen Ozean.
45,candidate,kandidat,COGNATE,N,She was a <MASK> for the research award.,"The presidential <MASK> outlined a bold new vision for the country, focusing on economic reform and social justice.",Sie war eine <MASK> für den Forschungspreis.,"Die <MASK> des Präsidenten skizzierte eine mutige neue Vision für das Land, die sich auf Wirtschaftsreformen und soziale Gerechtigkeit konzentriert."
46,generation,generation,COGNATE,N,The new <MASK> is very tech-savvy.,"The baby boomer <MASK> experienced significant social and economic changes, shaping modern society in profound ways.",Die neue <MASK> ist sehr technisch versiert.,Der Babyboomer <MASK> erlebte bedeutende soziale und wirtschaftliche Veränderungen und prägte die moderne Gesellschaft tiefgreifend.
47,concert,konzert,COGNATE,N,The <MASK> was sold out.,"The <MASK> was a dazzling spectacle of light and sound, with the symphony orchestra delivering a performance for the ages.",Die <MASK> war ausverkauft.,"Die <MASK> war ein umwerfendes Licht- und Klangspektakel, bei dem das Symphonieorchester eine Aufführung für die Ewigkeit lieferte."
48,religion,religion,COGNATE,N,She practices a different <MASK>.,The ancient <MASK> of the region includes intricate rituals and festivals that have been passed down for millennia.,Sie übt eine andere <MASK>.,"Die alte <MASK> der Region umfasst komplizierte Rituale und Feste, die seit Jahrtausenden weitergegeben werden."
49,siren,sirene,COGNATE,N,They heard the <MASK> in the distance.,"The police <MASK> wailed as the patrol car sped through the streets, chasing after the suspect in a high-speed pursuit.",Sie hörten die <MASK> in der Ferne.,"Die Polizei <MASK> heulte, als der Streifenwagen durch die Straßen raste und dem Verdächtigen in einer Hochgeschwindigkeitsjagd nachjagte."
50,tunnel,tunnel,COGNATE,N,They passed through the <MASK>.,"The <MASK> beneath the mountain, a marvel of modern engineering, significantly reduced travel time between the two cities.",Sie gingen durch die <MASK>.,"Die <MASK> unter dem Berg, ein Wunderwerk moderner Ingenieurskunst, verkürzte die Reisezeit zwischen den beiden Städten erheblich."
51,elephant,elefant,COGNATE,N,They saw an <MASK> at the zoo.,"The endangered Asian <MASK> is a keystone species, playing a crucial role in maintaining the biodiversity of its ecosystem.",Sie sahen eine <MASK> im Zoo.,Die vom Aussterben bedrohte asiatische <MASK> ist eine Schlüsselart und spielt eine entscheidende Rolle bei der Erhaltung der Artenvielfalt ihres Ökosystems.
52,diamond,diamant,COGNATE,N,She saw a beautiful <MASK> in the safe.,"The <MASK> gleamed under the spotlight, its facets catching the light as it was placed into the antique ring setting.",Sie sah eine wunderschöne <MASK> im Safe.,"Die <MASK> glänzte im Scheinwerferlicht und ihre Facetten fingen das Licht ein, als sie in die antike Ringfassung gelegt wurde."
53,discussion,diskussion,COGNATE,N,They had a <MASK> about politics.,"The <MASK> on climate change brought together scientists, policymakers, and activists to address the global environmental crisis.",Sie hatten eine <MASK> über Politik.,"Die <MASK> zum Thema Klimawandel brachte Wissenschaftler, politische Entscheidungsträger und Aktivisten zusammen, um die globale Umweltkrise anzugehen."
54,discipline,disziplin,COGNATE,N,She believes in maintaining <MASK>.,"The military's emphasis on <MASK> instills a sense of order and responsibility in soldiers, preparing them for high-pressure situations.",Sie glaubt an die Aufrechterhaltung von <MASK>.,Die Betonung von <MASK> durch das Militär vermittelt den Soldaten ein Gefühl von Ordnung und Verantwortung und bereitet sie auf Situationen unter hohem Druck vor.
55,clown,clown,COGNATE,N,The <MASK> made the children laugh.,"The <MASK> at the birthday party performed hilarious tricks and juggled brightly colored balls, keeping the audience entertained.",Die <MASK> brachte die Kinder zum Lachen.,"Die <MASK> auf der Geburtstagsfeier führte lustige Tricks vor und jonglierte mit bunten Bällen, um das Publikum zu unterhalten."
56,family,familie,COGNATE,N,He spent the weekend with his <MASK>.,"The <MASK> reunion brought together relatives from across the country, rekindling bonds and celebrating",Er verbrachte das Wochenende mit seiner <MASK>.,"Das <MASK>-Treffen brachte Verwandte aus dem ganzen Land zusammen, um die Bindungen neu zu entfachen und zu feiern"
57,athlete,athelet,COGNATE,N,He is a professional <MASK>.,"The Olympic <MASK> trained for years to achieve peak physical condition, representing her country on the global stage.",Er ist ein professioneller <MASK>.,"Die olympische <MASK> trainierte jahrelang, um ihre körperliche Höchstform zu erreichen, und vertrat ihr Land auf der Weltbühne."
58,figure,figur,COGNATE,N,The <MASK> in the painting was unrecognizable.,"The historical <MASK> was honored with a statue in the town square, celebrating his leadership in the nation’s fight for independence.",Die <MASK> im Gemälde war nicht erkennbar.,"Der historische <MASK> wurde mit einer Statue auf dem Stadtplatz geehrt, um seine Führungsrolle im Kampf der Nation um die Unabhängigkeit zu würdigen."
59,nation,nation,COGNATE,N,The <MASK> is known for its beautiful landscapes.,"The <MASK> faces numerous challenges, including economic instability and political unrest, which threaten its path to progress.",Die <MASK> ist für ihre wunderschönen Landschaften bekannt.,"Die <MASK> steht vor zahlreichen Herausforderungen, darunter wirtschaftliche Instabilität und politische Unruhen, die ihren Weg zum Fortschritt gefährden."
60,fact,fakt,COGNATE,N,It's a <MASK> that some animals can see better at night.,The scientist presented the <MASK> that water boils at 100°C under standard atmospheric pressure.,"Es ist eine <MASK>, die manche Tiere nachts besser sehen können.","Der Wissenschaftler stellte die <MASK> vor, dass Wasser unter normalem Atmosphärendruck bei 100 °C siedet."
61,factor,faktor,COGNATE,N,One <MASK> in her success is her strong work ethic.,The <MASK> that ultimately led to the company’s success was its innovative approach to customer service and product design.,Eine <MASK> ihres Erfolgs ist ihre starke Arbeitsmoral.,"Die <MASK>, die letztendlich zum Erfolg des Unternehmens führte, war sein innovativer Ansatz in Bezug auf Kundenservice und Produktdesign."
62,analysis,analyse,COGNATE,N,The <MASK> showed significant errors.,"His <MASK> of the economic downturn revealed deep structural issues in the market, prompting calls for regulatory reform.",Die <MASK> zeigte erhebliche Fehler.,"Seine <MASK> des wirtschaftlichen Abschwungs offenbarte tiefgreifende strukturelle Probleme im Markt, was zu Forderungen nach einer Regulierungsreform führte."
63,anatomy,anatomie,COGNATE,N,They studied human <MASK> in class.,Her research on the <MASK> of marine mammals provided new insights into their adaptation to underwater environments.,Sie haben im Unterricht menschliche <MASK> studiert.,Ihre Forschungen zur <MASK> von Meeressäugetieren lieferten neue Erkenntnisse über deren Anpassung an Unterwasserumgebungen.
64,architect,architekt,COGNATE,N,The <MASK> didn’t mind the rain while sketching.,The <MASK> behind the iconic skyscraper used cutting-edge materials and techniques to create a structure that defined the city’s skyline.,Der <MASK> machte der Regen beim Skizzieren nichts aus.,"Die <MASK> hinter dem ikonischen Wolkenkratzer nutzte modernste Materialien und Techniken, um eine Struktur zu schaffen, die die Skyline der Stadt prägte."
65,experiment,experiment,COGNATE,N,"The <MASK> was interesting, though no one understood it.","The <MASK> in particle physics yielded unexpected results, challenging previously held assumptions about the nature of matter.","Die <MASK> war interessant, obwohl sie niemand verstand.",Die <MASK> in der Teilchenphysik lieferte unerwartete Ergebnisse und stellte bisherige Annahmen über die Natur der Materie in Frage.
66,archaeology,archäologie,COGNATE,N,He studied <MASK> in college.,The field of <MASK> continues to reveal secrets of ancient civilizations through the excavation of long-buried artifacts.,Er hat <MASK> am College studiert.,Der Bereich <MASK> enthüllt weiterhin Geheimnisse antiker Zivilisationen durch die Ausgrabung längst vergrabener Artefakte.
