ID,en,es,type,lexical_category,low_en,high_en,low_es,high_es
1,nature,naturaleza,COGNATE,N,She opened the book and read about the fascinating world of <MASK>.,"They spent the weekend hiking and camping, enjoying the beauty of untouched <MASK>.",Abrió el libro y leyó sobre el fascinante mundo de <MASK>.,"Pasaron el fin de semana caminando y acampando, disfrutando de la belleza de la <MASK> intacta."
2,culture,cultura,COGNATE,N,He’s been reading a lot about <MASK> lately in his free time.,The festival is a celebration of the region’s rich <MASK> and traditions.,Últimamente ha estado leyendo mucho sobre <MASK> en su tiempo libre.,El festival es una celebración de la rica <MASK> y las tradiciones de la región.
3,restaurant,restaurante,COGNATE,N,They were thinking about opening a <MASK> in the city.,"After a long day at work, they decided to have dinner at their favorite Italian <MASK>.",Estaban pensando en abrir una <MASK> en la ciudad.,"Después de un largo día de trabajo, decidieron cenar en su <MASK> italiano favorito."
4,traffic,tráfico,COGNATE,N,He always gets frustrated by the morning <MASK>.,The rush hour <MASK> was so bad that it took an extra hour to get home.,Siempre se siente frustrado por la <MASK> matutina.,La hora pico <MASK> era tan mala que tomó una hora más llegar a casa.
5,tourist,turista,COGNATE,N,"When traveling, it’s easy to spot a <MASK> in the crowd.","The <MASK> asked for directions to the museum, which was the most popular attraction in town.","Cuando viajas, es fácil detectar una <MASK> entre la multitud.","La <MASK> preguntó cómo llegar al museo, que era la atracción más popular de la ciudad."
6,salary,salario,COGNATE,N,He was unsure if the <MASK> would be enough to cover all expenses. ,She was excited when she learned that the new job came with a higher <MASK> than she expected.,No estaba seguro de si la <MASK> sería suficiente para cubrir todos los gastos.,Se emocionó cuando supo que el nuevo trabajo incluía una <MASK> más alta de lo que esperaba.
7,soup,sopa,COGNATE,N,He asked if there was any <MASK> on the menu for lunch.,She made a hot bowl of <MASK> to warm herself on the cold winter day.,Preguntó si había alguna <MASK> en el menú para el almuerzo.,Preparó un plato caliente de <MASK> para calentarse en el frío día de invierno.
8,artist,artista,COGNATE,N,The gallery had a new <MASK> exhibiting work that was very abstract.,The <MASK> spent hours perfecting the details of his latest painting in the studio.,La galería tenía una nueva obra de exhibición <MASK> que era muy abstracta.,La <MASK> pasó horas perfeccionando los detalles de su último cuadro en el estudio.
9,vocabulary,vocabulario,COGNATE,N,They discussed how children develop their <MASK> as they grow.,His <MASK> improved significantly after reading so many classic novels.,Hablaron de cómo los niños desarrollan su <MASK> a medida que crecen.,Su <MASK> mejoró significativamente después de leer tantas novelas clásicas.
10,poet,poeta,COGNATE,N,He dreams of becoming a successful <MASK> one day.,The <MASK> recited her most famous work to a captivated audience at the book fair.,Sueña con convertirse en un <MASK> exitoso algún día.,La <MASK> recitó su obra más famosa ante un público cautivado en la feria del libro.
11,secretary,secretario,COGNATE,N,He worked as a <MASK> at the law firm for many years.,The <MASK> quickly organized the files and scheduled all the appointments for the day.,Trabajó como <MASK> en el bufete de abogados durante muchos años.,La <MASK> organizó rápidamente los archivos y programó todas las citas del día.
12,action,acción,COGNATE,N,They spoke about the importance of <MASK> in bringing about change.,"In response to the crisis, the government took immediate <MASK> to address the problem.",Hablaron sobre la importancia de <MASK> para lograr el cambio.,"En respuesta a la crisis, el gobierno tomó una <MASK> inmediata para abordar el problema."
13,interpretation,interpretación,COGNATE,N,There are many ways to offer an <MASK> of a complex issue.,His <MASK> of the novel's ending was very different from what others had imagined.,Hay muchas maneras de ofrecer una <MASK> de un tema complejo.,Su <MASK> del final de la novela era muy diferente de lo que otros habían imaginado.
14,collection,collección,COGNATE,N,He has been working on his personal <MASK> for years.,Her stamp <MASK> includes rare pieces from all around the world.,Ha estado trabajando en su <MASK> personal durante años.,Su sello <MASK> incluye piezas raras de todo el mundo.
15,attention,atención,COGNATE,N,The teacher asked for the students’ <MASK> before beginning the lesson.,The speaker’s powerful words immediately captured the <MASK> of the entire audience.,El profesor pidió la <MASK> de los estudiantes antes de comenzar la lección.,Las poderosas palabras del orador capturaron inmediatamente la <MASK> de toda la audiencia.
16,blouse,blusa,COGNATE,N,He noticed a colorful <MASK> in the store window.,"She wore a silk <MASK> to the formal dinner, pairing it with a stylish skirt.",Notó una <MASK> colorida en el escaparate de la tienda.,"Llevó una <MASK> de seda para la cena formal, combinándola con una falda elegante."
17,technology,tecnología,COGNATE,N,His interest in <MASK> began when he was just a child.,The rapid development of <MASK> has transformed the way people communicate in the modern world.,Su interés por <MASK> comenzó cuando era sólo un niño.,El rápido desarrollo de <MASK> ha transformado la forma en que las personas se comunican en el mundo moderno.
18,chemistry,química,COGNATE,N,She’s always been fascinated by <MASK>.,The <MASK> between the two lead actors in the film made the love story believable.,Siempre ha estado fascinada por <MASK>.,La <MASK> entre los dos actores principales de la película hizo creíble la historia de amor.
19,geography,geografía,COGNATE,N,"He had an extensive knowledge of <MASK> , especially when it came to mountain ranges.",The detailed <MASK> of the region made it challenging for explorers to navigate the dense forests and high mountains.,"Tenía un amplio conocimiento de <MASK>, especialmente cuando se trataba de cadenas montañosas.",La <MASK> detallada de la región dificultaba a los exploradores navegar por los densos bosques y las altas montañas.
20,tragedy,tragedía,COGNATE,N,Many people view the event as a terrible <MASK> that could have been prevented.,The play was a <MASK> that told the heartbreaking story of a hero's downfall.,Mucha gente ve el evento como una <MASK> terrible que podría haberse evitado.,La obra era una <MASK> que contaba la desgarradora historia de la caída de un héroe.
21,lottery,loteria,COGNATE,N,He played the <MASK> every week but never won.,She was shocked when she realized she had won the million-dollar <MASK> jackpot.,Jugó la <MASK> todas las semanas pero nunca ganó.,Se sorprendió cuando se dio cuenta de que había ganado el premio mayor de <MASK> de un millón de dólares.
22,yogurt,yogur,COGNATE,N,He grabbed a container of <MASK> from the fridge for breakfast.,She added some granola and berries to her plain <MASK> for a healthy snack.,Tomó un recipiente de <MASK> del refrigerador para desayunar.,Agregó un poco de granola y bayas a su <MASK> simple para obtener un refrigerio saludable.
23,baby,bebé,COGNATE,N,They heard the <MASK> laughing in the next room.,The <MASK> took its first steps as the parents watched in awe.,Escucharon a la <MASK> reírse en la habitación de al lado.,La <MASK> dio sus primeros pasos mientras los padres observaban con asombro.
24,class,clase,COGNATE,N,The professor extended the <MASK> today.,The chemistry <MASK> was so difficult that many students struggled to pass the final exam.,El profesor extendió la <MASK> hoy.,La <MASK> de química fue tan difícil que muchos estudiantes tuvieron dificultades para aprobar el examen final.
25,gender,género,COGNATE,N,The topic of <MASK> was discussed in the sociology lecture.,The survey asked participants to identify their <MASK> for demographic purposes.,El tema de <MASK> se discutió en la conferencia de sociología.,La encuesta pidió a los participantes que identificaran su <MASK> con fines demográficos.
26,mountain,montaña,COGNATE,N,He loved nature and being close to the <MASK>.,They reached the summit of the tallest <MASK> in the region after hours of climbing.,Amaba la naturaleza y estar cerca de la <MASK>.,Llegaron a la cima de la <MASK> más alta de la región después de horas de escalada.
