ID,en,fr,type,lexical_category,low_en,high_en,low_fr,high_fr
1,fruit,fruit,COGNATE,N,I ate a piece of <MASK> for breakfast.,The tropical <MASK> selection at the market included exotic varieties like rambutan.,J'ai mangé un morceau de <MASK> au petit-déjeuner.,La sélection tropicale <MASK> sur le marché comprenait des variétés exotiques comme le ramboutan.
2,ocean,océan,COGNATE,N,The <MASK> was calm today.,The marine biologists sailed deep into the <MASK> to study the migration patterns of humpback whales.,Le <MASK> était calme aujourd’hui.,Les biologistes marins ont navigué profondément dans le <MASK> pour étudier les schémas de migration des baleines à bosse.
3,telephone,téléphone,COGNATE,N,She called me on the <MASK>.,"The <MASK> rang, and the news on the other end changed the course of his life forever.",Elle m'a appelé sur le <MASK>.,Le <MASK> sonna et la nouvelle à l'autre bout du fil changea à jamais le cours de sa vie.
4,machine,machine,COGNATE,N,The <MASK> was making a strange noise.,"The new automated <MASK> revolutionized the factory’s production process, increasing output by 50%.",Le <MASK> faisait un bruit étrange.,"Le nouveau <MASK> automatisé a révolutionné le processus de production de l’usine, augmentant la production de 50 %."
5,intelligence,intelligence,COGNATE,N,She has great <MASK> and learns quickly.,"Artificial <MASK> has advanced rapidly, transforming industries by analyzing vast amounts of data in real time.",Elle a un super <MASK> et apprend vite.,"Le <MASK> artificiel a progressé rapidement, transformant les industries en analysant de grandes quantités de données en temps réel."
6,adventure,aventure,COGNATE,N,The <MASK> was full of surprises.,"Their <MASK> through the Amazon rainforest was both thrilling and dangerous, testing their survival skills to the limit.",Le <MASK> était plein de surprises.,"Leur <MASK> à travers la forêt amazonienne était à la fois passionnant et dangereux, mettant à l'épreuve leurs capacités de survie."
7,appetite,appétit,COGNATE,N,His <MASK> grew as he looked at the food.,"The strenuous hike increased everyone’s <MASK>, and they devoured their meal by the campfire.",Son <MASK> grandissait à mesure qu'il regardait la nourriture.,"La randonnée épuisante a augmenté le <MASK> de chacun, et ils ont dévoré leur repas près du feu de camp."
8,banana,banane,COGNATE,N,I ate a <MASK> for lunch.,"The ripe <MASK> fell from the tree, a common sight in the lush tropical plantation.",J'ai mangé un <MASK> pour le déjeuner.,"Le <MASK> mûr est tombé de l'arbre, un spectacle courant dans la plantation tropicale luxuriante."
9,camera,caméra,COGNATE,N,She bought a new <MASK> for the trip.,The professional photographer’s <MASK> captured breathtaking images of the aurora borealis in the Arctic sky.,Elle a acheté un nouveau <MASK> pour le voyage.,Le <MASK> du photographe professionnel a capturé des images à couper le souffle des aurores boréales dans le ciel arctique.
10,electricity,électricité,COGNATE,N,"<MASK> buzzed through the wires, filling the air with a quiet hum.",Harnessing <MASK> from renewable sources has become a critical goal in the fight against climate change.,"<MASK> bourdonnait à travers les fils, remplissant l'air d'un bourdonnement silencieux.",Exploiter <MASK> à partir de sources renouvelables est devenu un objectif essentiel dans la lutte contre le changement climatique.
11,elephant,éléphant,COGNATE,N,The <MASK> was eating leaves from the tree.,"The majestic <MASK> roamed the savanna, its massive tusks a symbol of power and grace in the animal kingdom.",Le <MASK> mangeait les feuilles de l'arbre.,"Le majestueux <MASK> parcourait la savane, ses défenses massives étant un symbole de puissance et de grâce dans le règne animal."
12,energy,énergie,COGNATE,N,He felt a surge of <MASK> after his workout.,"Solar panels convert sunlight into <MASK>, providing a sustainable source of power for homes and businesses.",Il a ressenti une poussée de <MASK> après son entraînement.,"Les panneaux solaires convertissent la lumière du soleil en <MASK>, fournissant ainsi une source d'énergie durable pour les maisons et les entreprises."
13,garden,jardin,COGNATE,N,The <MASK> was filled with flowers.,"Her meticulously tended <MASK> was a serene retreat, bursting with colorful blooms and fragrant herbs.",Le <MASK> était rempli de fleurs.,"Son <MASK> méticuleusement entretenu était une retraite sereine, regorgeant de fleurs colorées et d'herbes parfumées."
14,hospital,hôpital,COGNATE,N,The <MASK> stood quiet under the soft glow of evening lights.,"The <MASK> was renowned for its cutting-edge research in cardiology, attracting patients from across the globe.",Le <MASK> restait silencieux sous la douce lueur des lumières du soir.,"Le <MASK> était réputé pour ses recherches de pointe en cardiologie, attirant des patients du monde entier."
15,hotel,hôtel,COGNATE,N,We stayed at a nice <MASK> during our vacation.,"The <MASK> lobby was an elegant blend of modern design and classic architecture, offering luxurious accommodations for its guests.",Nous avons séjourné dans un joli <MASK> pendant nos vacances.,"Le hall <MASK> était un mélange élégant de design moderne et d'architecture classique, offrant un hébergement luxueux à ses invités."
16,helicopter,hélicoptère,COGNATE,N,The <MASK> flew over the city.,"The <MASK> airlifted supplies to the remote mountain village, cut off by heavy snowfall.",Le <MASK> a survolé la ville.,"Le <MASK> a transporté des fournitures par avion vers le village de montagne isolé, isolé par de fortes chutes de neige."
17,idea,idée,COGNATE,N,She had a brilliant <MASK> for the project.,The <MASK> of creating a biodegradable packaging material revolutionized the company’s approach to sustainability.,Elle avait un brillant <MASK> pour le projet.,Le <MASK> consistant à créer un matériau d’emballage biodégradable a révolutionné l’approche de l’entreprise en matière de durabilité.
18,independence,indépendance,COGNATE,N,They fought for <MASK> from colonial rule.,"The nation’s <MASK> day is celebrated with parades, speeches, and fireworks, marking the end of colonial domination.",Ils se sont battus pour <MASK> contre le régime colonial.,"La journée nationale <MASK> est célébrée avec des défilés, des discours et des feux d’artifice, marquant la fin de la domination coloniale."
19,lesson,leçon,COGNATE,N,The <MASK> was easy to understand.,The professor’s <MASK> on quantum mechanics challenged the students to think beyond classical physics.,Le <MASK> était facile à comprendre.,Le <MASK> du professeur sur la mécanique quantique a incité les étudiants à penser au-delà de la physique classique.
20,lemon,limon,COGNATE,N,The tea had a hint of <MASK>.,"The fresh <MASK>zest added a bright, citrusy flavor to the dish, enhancing its overall appeal.",Le thé avait un soupçon de <MASK>.,"Le zeste frais de <MASK> a ajouté une saveur vive d'agrumes au plat, renforçant son attrait général."
21,palace,palais,COGNATE,N,The king lived in a grand <MASK>.,"The <MASK> was a sprawling complex, adorned with marble columns and intricate mosaics, symbolizing the empire's wealth and power.",Le roi vivait dans un grand <MASK>.,"Le <MASK> était un complexe tentaculaire, orné de colonnes de marbre et de mosaïques complexes, symbolisant la richesse et la puissance de l'empire."
22,paper,papier,COGNATE,N,"Under the light, faint textures of the <MASK> seemed to come alive.",The research <MASK> on climate change received widespread recognition for its groundbreaking analysis of global weather patterns.,"Sous la lumière, les textures faibles du <MASK> semblaient prendre vie.",La recherche <MASK> sur le changement climatique a été largement reconnue pour son analyse révolutionnaire des modèles météorologiques mondiaux.
23,remedy,remède,COGNATE,N,The <MASK> helped relieve his symptoms.,The herbal <MASK> had been passed down through generations as a natural cure for various ailments.,Le <MASK> a aidé à soulager ses symptômes.,Le <MASK> à base de plantes avait été transmis de génération en génération comme remède naturel contre diverses maladies.
24,stomach,estomac,COGNATE,N,The slight tension in his <MASK> hinted at a nervous anticipation.,The sharp pang in her <MASK> reminded her she hadn’t eaten since dawn.,La légère tension dans son <MASK> faisait allusion à une anticipation nerveuse.,La vive douleur dans son <MASK> lui rappela qu'elle n'avait pas mangé depuis l'aube.
